id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
NGA-00781,geografia,toponimo,Arroyo de la Reguera,"Arroyo de la Reguera (Curso Fluvial) en Alcalá de los Gazules. WGS84: 36.370313, -5.641683.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Alcalá de los Gazules,36.370313,-5.641683,2026-08-28
NGA-00782,geografia,toponimo,Arroyo de la Renegada,"Arroyo de la Renegada (Curso Fluvial) en Villamartín. WGS84: 36.854976, -5.593824.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Villamartín,36.854976,-5.593824,2026-08-28
NGA-00783,geografia,toponimo,Arroyo de la Rigerta,"Arroyo de la Rigerta (Curso Fluvial) en Jubrique. WGS84: 36.592458, -5.227528.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Jubrique,36.592458,-5.227528,2026-08-28
NGA-00784,geografia,toponimo,Arroyo de la Rijana,"Arroyo de la Rijana (Curso Fluvial) en Júzcar. WGS84: 36.579164, -5.143742.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Júzcar,36.579164,-5.143742,2026-08-28
NGA-00785,geografia,toponimo,Arroyo de la Romera,"Arroyo de la Romera (Curso Fluvial) en Puerto Real. WGS84: 36.51242, -6.033134.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Puerto Real,36.51242,-6.033134,2026-08-28
NGA-00786,geografia,toponimo,Arroyo de la Sanguijuela,"Arroyo de la Sanguijuela (Curso Fluvial) en Ronda. WGS84: 36.771066, -5.211212.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Ronda,36.771066,-5.211212,2026-08-28
NGA-00787,geografia,toponimo,Arroyo de la Sauceda,"Arroyo de la Sauceda (Curso Fluvial) en Jerez de la Frontera. WGS84: 36.599678, -5.907922.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Jerez de la Frontera,36.599678,-5.907922,2026-08-28
NGA-00788,geografia,toponimo,Arroyo de la Sierra,"Arroyo de la Sierra (Curso Fluvial) en Jerez de la Frontera. WGS84: 36.674056, -5.971475.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Jerez de la Frontera,36.674056,-5.971475,2026-08-28
NGA-00789,geografia,toponimo,Arroyo de la Sierra,"Arroyo de la Sierra (Curso Fluvial) en Manilva. WGS84: 36.362123, -5.262292.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Manilva,36.362123,-5.262292,2026-08-28
NGA-00790,geografia,toponimo,Arroyo de la Sierra o de Cabañas,"Arroyo de la Sierra o de Cabañas (Curso Fluvial) en Jerez de la Frontera. WGS84: 36.640021, -5.90112.",IECA — Nomenclátor Geográfico de Andalucía (WFS app:Entidad),https://www.ideandalucia.es/wfs-nga/services,alta,Cádiz,Jerez de la Frontera,36.640021,-5.90112,2026-08-28
