id,categoria,subcategoria,titulo,contenido,fuente,fuente_url,nivel_confianza,provincia,municipio,lat,lon,fecha_verificacion
OVERPASS-0680,geografia,farmacia,New Chemist,"New Chemist (farmacia). Coordenadas aprox: 36.1438, -5.3531.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.143788&mlon=-5.3530704,alta,Cádiz,,36.143788,-5.35307,2026-08-28
OVERPASS-0681,geografia,farmacia,Calpe Pharmacy,"Calpe Pharmacy (farmacia). Coordenadas aprox: 36.1425, -5.3531.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1425021&mlon=-5.3531207,alta,Cádiz,,36.142502,-5.353121,2026-08-28
OVERPASS-0682,geografia,farmacia,Bell Lane,"Bell Lane (farmacia). Coordenadas aprox: 36.1417, -5.3526.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1417429&mlon=-5.3526013,alta,Cádiz,,36.141743,-5.352601,2026-08-28
OVERPASS-0683,geografia,farmacia,Family Pharmacy,"Family Pharmacy (farmacia). Coordenadas aprox: 36.1414, -5.3534.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1414276&mlon=-5.3533719,alta,Cádiz,,36.141428,-5.353372,2026-08-28
OVERPASS-0684,geografia,farmacia,Mill Pharmacy,"Mill Pharmacy (farmacia). Coordenadas aprox: 36.1407, -5.3529.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.140664&mlon=-5.3528553,alta,Cádiz,,36.140664,-5.352855,2026-08-28
OVERPASS-0685,geografia,farmacia,Duty Chemist,"Duty Chemist (farmacia). Coordenadas aprox: 36.1391, -5.3537.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.13913&mlon=-5.353729,alta,Cádiz,,36.13913,-5.353729,2026-08-28
OVERPASS-0686,geografia,farmacia,Wesley Pharmacy,"Wesley Pharmacy (farmacia). Coordenadas aprox: 36.1366, -5.3530.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1365906&mlon=-5.3530154,alta,Cádiz,,36.136591,-5.353015,2026-08-28
OVERPASS-0687,geografia,farmacia,Cumberland Pharmacy,"Cumberland Pharmacy (farmacia). Coordenadas aprox: 36.1256, -5.3529.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1255892&mlon=-5.3528683,alta,Cádiz,,36.125589,-5.352868,2026-08-28
OVERPASS-0688,geografia,farmacia,Eroski Pharmacy,"Eroski Pharmacy (farmacia). Coordenadas aprox: 36.1528, -5.3493.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1527885&mlon=-5.3493495,alta,Cádiz,,36.152788,-5.349349,2026-08-28
OVERPASS-0689,geografia,farmacia,Trafalgar Pharmacy,"Trafalgar Pharmacy (farmacia). Coordenadas aprox: 36.1432, -5.3533.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1432435&mlon=-5.3532901,alta,Cádiz,,36.143243,-5.35329,2026-08-28
OVERPASS-0690,geografia,farmacia,Farmacia Sara Gutiérrez Alba,"Farmacia Sara Gutiérrez Alba (farmacia). Coordenadas aprox: 36.7408, -6.4288.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7407649&mlon=-6.4287843,alta,Cádiz,,36.740765,-6.428784,2026-08-28
OVERPASS-0691,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.5220, -6.2750.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5219578&mlon=-6.2750245,alta,Cádiz,,36.521958,-6.275024,2026-08-28
OVERPASS-0692,geografia,farmacia,Farmacia Pocito Blanco,"Farmacia Pocito Blanco (farmacia). Coordenadas aprox: 36.2859, -6.0800.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.2858633&mlon=-6.0799859,alta,Cádiz,,36.285863,-6.079986,2026-08-28
OVERPASS-0693,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.4103, -6.1357.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4102945&mlon=-6.1356814,alta,Cádiz,,36.410294,-6.135681,2026-08-28
OVERPASS-0694,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.1351, -5.4440.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1351061&mlon=-5.4439584,alta,Cádiz,,36.135106,-5.443958,2026-08-28
OVERPASS-0695,geografia,hospital,Hospital Doctor López Cano,"Hospital Doctor López Cano (hospital). Coordenadas aprox: 36.5020, -6.2735.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5019728&mlon=-6.2734749,alta,Cádiz,,36.501973,-6.273475,2026-08-28
OVERPASS-0696,geografia,centro de salud,Centro Médico Doctor Lobatón,"Centro Médico Doctor Lobatón (centro de salud). Coordenadas aprox: 36.5202, -6.2862.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5202127&mlon=-6.2862459,alta,Cádiz,,36.520213,-6.286246,2026-08-28
OVERPASS-0697,geografia,farmacia,Farmacia FarmaGB,"Farmacia FarmaGB (farmacia). Coordenadas aprox: 36.5778, -6.2254.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5777856&mlon=-6.2254167,alta,Cádiz,,36.577786,-6.225417,2026-08-28
OVERPASS-0698,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.2977, -5.2711.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.2977037&mlon=-5.2710993,alta,Cádiz,,36.297704,-5.271099,2026-08-28
OVERPASS-0699,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.4442, -5.2692.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.4441535&mlon=-5.2691658,alta,Cádiz,,36.444153,-5.269166,2026-08-28
OVERPASS-0700,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.3393, -5.3207.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.3393291&mlon=-5.3207121,alta,Cádiz,,36.339329,-5.320712,2026-08-28
OVERPASS-0701,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.7033, -5.4243.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7033316&mlon=-5.4242778,alta,Cádiz,,36.703332,-5.424278,2026-08-28
OVERPASS-0702,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.7024, -5.4221.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7024378&mlon=-5.4221391,alta,Cádiz,,36.702438,-5.422139,2026-08-28
OVERPASS-0703,geografia,farmacia,Farmacia Fami Bernal,"Farmacia Fami Bernal (farmacia). Coordenadas aprox: 36.5710, -6.2236.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.5709646&mlon=-6.2235889,alta,Cádiz,,36.570965,-6.223589,2026-08-28
OVERPASS-0704,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.1867, -5.4379.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1867259&mlon=-5.4378943,alta,Cádiz,,36.186726,-5.437894,2026-08-28
OVERPASS-0705,geografia,farmacia,Farmacia Félix Suárez Bárcena,"Farmacia Félix Suárez Bárcena (farmacia). Coordenadas aprox: 36.1757, -5.4372.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1756907&mlon=-5.4372151,alta,Cádiz,,36.175691,-5.437215,2026-08-28
OVERPASS-0706,geografia,farmacia,Farmacia la Mandrágora,"Farmacia la Mandrágora (farmacia). Coordenadas aprox: 36.7812, -6.3603.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7811945&mlon=-6.3602715,alta,Cádiz,,36.781194,-6.360271,2026-08-28
OVERPASS-0707,geografia,centro de salud,Centro de Salud Sanlúcar Barrio Bajo,"Centro de Salud Sanlúcar Barrio Bajo (centro de salud). Coordenadas aprox: 36.7810, -6.3559.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7809883&mlon=-6.3558836,alta,Cádiz,,36.780988,-6.355884,2026-08-28
OVERPASS-0708,geografia,farmacia,Farmacia López Hurtado,"Farmacia López Hurtado (farmacia). Coordenadas aprox: 36.7716, -6.3494.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7715953&mlon=-6.3493745,alta,Cádiz,,36.771595,-6.349374,2026-08-28
OVERPASS-0709,geografia,farmacia,farmacia,"farmacia (farmacia). Coordenadas aprox: 36.7855, -6.3438.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7854731&mlon=-6.343837,alta,Cádiz,,36.785473,-6.343837,2026-08-28
OVERPASS-0710,geografia,farmacia,Farmacia Rodríguez Peñalver,"Farmacia Rodríguez Peñalver (farmacia). Coordenadas aprox: 36.7867, -6.3521.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.7867138&mlon=-6.3521495,alta,Cádiz,,36.786714,-6.35215,2026-08-28
OVERPASS-0711,geografia,farmacia,Farmacia Almagro,"Farmacia Almagro (farmacia). Coordenadas aprox: 36.1287, -5.4465.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1287315&mlon=-5.4465455,alta,Cádiz,,36.128732,-5.446546,2026-08-28
OVERPASS-0712,geografia,farmacia,Farmacia Alcalá,"Farmacia Alcalá (farmacia). Coordenadas aprox: 36.1287, -5.4452.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1287453&mlon=-5.4452429,alta,Cádiz,,36.128745,-5.445243,2026-08-28
OVERPASS-0713,supervivencia,agua potable,agua potable,"agua potable (agua potable). Coordenadas aprox: 36.1356, -5.8476.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1355858&mlon=-5.8476244,alta,Cádiz,,36.135586,-5.847624,2026-08-28
OVERPASS-0714,geografia,farmacia,Farmacia Malfaz,"Farmacia Malfaz (farmacia). Coordenadas aprox: 36.1927, -5.9170.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.192696&mlon=-5.9170022,alta,Cádiz,,36.192696,-5.917002,2026-08-28
OVERPASS-0715,geografia,centro de salud,Centro Médico El Carmen,"Centro Médico El Carmen (centro de salud). Coordenadas aprox: 36.1951, -5.9187.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1951431&mlon=-5.9187465,alta,Cádiz,,36.195143,-5.918747,2026-08-28
OVERPASS-0716,geografia,centro de salud,BBT Clinic,"BBT Clinic (centro de salud). Coordenadas aprox: 36.1883, -5.9248.",OpenStreetMap (Overpass),https://www.openstreetmap.org/?mlat=36.1882859&mlon=-5.9248333,alta,Cádiz,,36.188286,-5.924833,2026-08-28
